CSV text has been written to file : CMOS&TTL74.csv

Library Component Count : 896

Name                Description
----------------------------------------------------------------------------------------------------

74LS00              Quad 2-Input Positive-NAND Gate
74F02               Quad 2-Input NOR Gate
74LS02              Quad 2-Input NOR Gate
74LS04              Hex Inverter
74F04               Hex Inverter
74F06               Hex Inverter with Open-Collector High-Voltage Output
7406                Hex Inverter with Open-Collector High-Voltage Output
74F07               Hex Buffer/Driver with Open-Collector High-Voltage Output
7407                Hex Buffer/Driver with Open-Collector High-Voltage Output
74F08               Quad 2-Input Positive-AND Gate
74LS08              Quad 2-Input Positive-AND Gate
74F10               Triple 3-Input Positive-NAND Gate
74LS10              Triple 3-Input Positive-NAND Gate
74LS11              Triple 3-Input Positive-AND Gate
74F11               Triple 3-Input Positive-AND Gate
74F13               Dual 4-Input Positive-NAND Schmitt-Trigger
74LS13              Dual 4-Input Positive-NAND Schmitt-Trigger
74LS14              Hex Schmitt-Trigger Inverter
74F14               Hex Schmitt-Trigger Inverter
74LS20              Dual 4-Input Positive-NAND Gate
74F20               Dual 4-Input Positive-NAND Gate
74LS27              Triple 3-Input Positive-NOR Gate
74F27               Triple 3-Input Positive-NOR Gate
74LS30              8-Input Positive-NAND Gate
74F30               8-Input Positive-NAND Gate
74F32               Quad 2-Input Positive-OR Gate
74LS32              Quad 2-Input Positive-OR Gate
74LS37              Quad 2-Input Positive-NAND Buffer
74F37               Quad 2-Input Positive-NAND Buffer
74LS40              Dual 4-Input Positive-NAND Buffer
74F40               Dual 4-Input Positive-NAND Buffer
74F74               Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset
74LS74              Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset
74F83               4-Bit Binary Full Adder with Fast Carry
74LS85              4-Bit Magnitude Comparator
74F85               4-Bit Magnitude Comparator
74LS86              Quad Exclusive-OR Gate
74F86               Quad Exclusive-OR Gate
74LS109             Dual J-~K Positive-Edge-Triggered Flip Flop with Preset and Clear
74F109              Dual J-~K Positive-Edge-Triggered Flip Flop with Preset and Clear
74LS109X2           Dual J-~K Positive-Edge-Triggered Flip Flop with Preset and Clear
74F109X2            Dual J-~K Positive-Edge-Triggered Flip Flop with Preset and Clear
74LS112             Dual J-K Negative-Edge-Triggered Flip-Flop with Clear and Preset
74F112              Dual J-K Negative-Edge-Triggered Flip-Flop with Clear and Preset
74LS112X2           Dual J-K Negative-Edge-Triggered Flip-Flop with Clear and Preset
74F112X2            Dual J-K Negative-Edge-Triggered Flip-Flop with Clear and Preset
74LS113             Dual J-K Negative-Edge-Triggered Flip-Flop with Preset
74F113              Dual J-K Negative-Edge-Triggered Flip-Flop with Preset
74LS113X2           Dual J-K Negative-Edge-Triggered Flip-Flop with Preset
74F113X2            Dual J-K Negative-Edge-Triggered Flip-Flop with Preset
74F125              Quad Bus Buffer Gate with 3-State Output
74F125X4            Quad Bus Buffer Gate with 3-State Output
74LS125             Quad Bus Buffer Gate with 3-State Output
74F126              Quad Bus Buffer Gate with 3-State Output
74F126X4            Quad Bus Buffer Gate with 3-State Output
74LS126X4           Quad Bus Buffer Gate with 3-State Output
74LS132             Quad Positive-NAND Gate with Schmitt-Trigger Input
